0|0|tr|A0A0E8TNN4|A0A0E8TNN4_STREE	4222	species	Bacillus A thuringiensis K
0|0|tr|A0A0E8TGT2|A0A0E8TGT2_STREE	89	genus	Bacillus A
0|0|tr|A0A0E8TSQ2|A0A0E8TSQ2_STREE	54479	species	Bacillus A clarus
0|0|tr|A0A0E8TSN0|A0A0E8TSN0_STREE	89	genus	Bacillus A
0|0|tr|A0A0E8T3U6|A0A0E8T3U6_STREE	89	genus	Bacillus A
0|0|tr|A0A0E8TCD0|A0A0E8TCD0_STREE	89	genus	Bacillus A
0|0|tr|A0A0E8T980|A0A0E8T980_STREE	4222	species	Bacillus A thuringiensis K
0|0|tr|I6BDG1|I6BDG1_SHIFL	7	genus	Escherichia
0|0|tr|I6BK32|I6BK32_SHIFL	7	genus	Escherichia
0|0|tr|I6BTJ7|I6BTJ7_SHIFL	7	genus	Escherichia
0|1|VFG000762(gb|YP_002332170)	0	no rank	unclassified
0|1|VFG000795(gb|NP_290251)	62113	species	Escherichia sp002965065
0|1|VFG000797(gb|NP_290253)	62113	species	Escherichia sp002965065
0|1|VFG000800(gb|NP_290256)	376	species	Escherichia albertii
0|1|VFG000801(gb|NP_290257)	7	genus	Escherichia
0|1|VFG000926(gb|NP_752608)	8	species	Escherichia coli
0|1|VFG000929(gb|NP_752599)	8	species	Escherichia coli
0|1|VFG000930(gb|NP_752604)	2	superkingdom	Bacteria
0|1|VFG000936(gb|NP_755498)	2	superkingdom	Bacteria
0|1|VFG000937(gb|NP_755499)	28350	species	Limiplasma sp023404345
0|1|VFG039101(gb|NP_819363)	699	species	Coxiella burnetii
0|1|VFG039171(gb|YP_002333017)	699	species	Coxiella burnetii
0|1|VFG039186(gb|NP_820625)	699	species	Coxiella burnetii
0|1|VFG039236(gb|NP_819115)	699	species	Coxiella burnetii
0|1|VFG039274(gb|NP_819247)	699	species	Coxiella burnetii
0|1|VFG000334(gb|NP_438494)	1282	species	Haemophilus influenzae I
0|1|VFG001147(gb|CAA83903)	232	genus	Haemophilus
0|1|VFG001149(gb|AAB03707)	4	class	Gammaproteobacteria
0|1|VFG001157(gb|AAC44560)	4	class	Gammaproteobacteria
0|1|VFG013242(gb|NP_438232)	1186	species	Haemophilus influenzae D
0|1|VFG045335(gb|AHK25020)	20507	species	Listeria farberi
0|1|VFG002378(gb|YP_178023)	35	species	Mycobacterium tuberculosis
0|1|VFG002389(gb|NP_218396)	35	species	Mycobacterium tuberculosis
0|1|VFG002390(gb|NP_218399)	35	species	Mycobacterium tuberculosis
0|1|VFG002396(gb|NP_216299)	35	species	Mycobacterium tuberculosis
0|1|VFG007179(gb|NP_798080)	59	species	Vibrio parahaemolyticus
0|1|VFG018681(gb|NP_800831)	59	species	Vibrio parahaemolyticus
0|1|VFG041910(gb|NP_800863)	5803	species	Vibrio tarriae
0|1|VFG041912(gb|NP_798060)	59	species	Vibrio parahaemolyticus
0|1|VFG000350(gb|YP_002346327)	153	species	Yersinia pestis
0|0|sp|Q8DWQ7|Y2157_STRA5	71	species	Streptococcus agalactiae
0|0|tr|D7H571|D7H571_BRUAO	99	species	Brucella melitensis
0|0|tr|D7H3R7|D7H3R7_BRUAO	99	species	Brucella melitensis
0|0|tr|D7H374|D7H374_BRUAO	99	species	Brucella melitensis
0|0|tr|D7H1P0|D7H1P0_BRUAO	99	species	Brucella melitensis
0|0|tr|E8XH19|E8XH19_SALT4	17	genus	Salmonella
0|0|tr|E8XFZ5|E8XFZ5_SALT4	18	species	Salmonella enterica
0|0|tr|E8XIY4|E8XIY4_SALT4	17	genus	Salmonella
0|0|tr|E8XGW9|E8XGW9_SALT4	17	genus	Salmonella
0|0|tr|E8XBG6|E8XBG6_SALT4	18	species	Salmonella enterica
0|1|PATRIC_VF|lmo1235	56	species	Listeria monocytogenes
0|1|PATRIC_VF|RVBD_0932c	35	species	Mycobacterium tuberculosis
0|1|PATRIC_VF|SL1344_3102	18	species	Salmonella enterica
0|1|PATRIC_VF|Rv3168	35	species	Mycobacterium tuberculosis
0|1|PATRIC_VF|SL1344_3907	18	species	Salmonella enterica
0|1|PATRIC_VF|STM474_1538	18	species	Salmonella enterica
0|1|PATRIC_VF|Rv0432	35	species	Mycobacterium tuberculosis
0|1|PATRIC_VF|c3566	6	family	Enterobacteriaceae
0|1|PATRIC_VF|Rv2984	32	order	Mycobacteriales
0|1|PATRIC_VF|lmo0049	55	genus	Listeria
0|1|gi|66275931|ref|YP_233016.1|	0	no rank	unclassified
0|1|gi|66275976|ref|YP_233061.1|	150804	species	Leucobacter zeae
0|1|gi|66275965|ref|YP_233050.1|	0	no rank	unclassified
0|1|gi|66275978|ref|YP_233063.1|	0	no rank	unclassified
0|1|gi|66275865|ref|YP_232950.1|	0	no rank	unclassified
0|1|gi|9630952|ref|NP_047549.1|	0	no rank	unclassified
0|1|gi|9631269|ref|NP_048049.1|	0	no rank	unclassified
0|1|gi|9631268|ref|NP_048048.1|	0	no rank	unclassified
0|1|gi|3006115|emb|CAA73290.1|	0	no rank	unclassified
0|1|gi|9633764|ref|NP_051842.1|	0	no rank	unclassified
0|1|VFG001246(gb|NP_249783)	21	genus	Pseudomonas
