,id,label
0,0|0|tr|A0A0E8TI69|A0A0E8TI69_STREE,0
1,0|0|tr|A0A0E8T5Q1|A0A0E8T5Q1_STREE,0
2,0|0|tr|A0A0E8T5Q2|A0A0E8T5Q2_STREE,0
3,0|0|tr|A0A0E8T679|A0A0E8T679_STREE,0
4,0|0|tr|A0A0E8TRG0|A0A0E8TRG0_STREE,0
5,0|0|tr|A0A0E8T836|A0A0E8T836_STREE,0
6,0|0|tr|A0A0E8TGB3|A0A0E8TGB3_STREE,0
7,0|0|tr|A0A0E8TKC6|A0A0E8TKC6_STREE,0
8,0|0|tr|A0A0E8T7Q5|A0A0E8T7Q5_STREE,0
9,0|0|tr|A0A0E8TCR8|A0A0E8TCR8_STREE,0
10,0|0|tr|A0A0E8TNK7|A0A0E8TNK7_STREE,0
11,0|0|tr|A0A0E8T9U3|A0A0E8T9U3_STREE,0
12,0|0|tr|A0A0E8TI19|A0A0E8TI19_STREE,0
13,0|0|tr|A0A0E8T5Z8|A0A0E8T5Z8_STREE,0
14,0|0|tr|A0A0E8TRT7|A0A0E8TRT7_STREE,0
15,0|0|tr|A0A0E8TP38|A0A0E8TP38_STREE,0
16,0|0|tr|A0A0E8TKP7|A0A0E8TKP7_STREE,0
17,0|0|tr|A0A0E8TE26|A0A0E8TE26_STREE,0
18,0|0|tr|A0A0E8TCS8|A0A0E8TCS8_STREE,0
19,0|0|tr|A0A0E8TGB6|A0A0E8TGB6_STREE,0
20,0|0|tr|A0A0E8TM75|A0A0E8TM75_STREE,0
21,0|0|tr|A0A0E8TJA1|A0A0E8TJA1_STREE,0
22,0|0|tr|A0A0E8TCM2|A0A0E8TCM2_STREE,0
23,0|0|tr|A0A0E8THA2|A0A0E8THA2_STREE,0
24,0|0|tr|A0A0E8TNX1|A0A0E8TNX1_STREE,0
25,0|0|tr|A0A0E8TNN4|A0A0E8TNN4_STREE,0
26,0|0|tr|A0A0E8TGT2|A0A0E8TGT2_STREE,0
27,0|0|tr|A0A0E8TSQ2|A0A0E8TSQ2_STREE,0
28,0|0|tr|A0A0E8TSN0|A0A0E8TSN0_STREE,0
29,0|0|tr|A0A0E8T3U6|A0A0E8T3U6_STREE,0
30,0|0|tr|A0A0E8THS6|A0A0E8THS6_STREE,0
31,0|0|tr|A0A0E8TFZ7|A0A0E8TFZ7_STREE,0
32,0|0|tr|A0A0E8TBC7|A0A0E8TBC7_STREE,0
33,0|0|tr|A0A0E8T5B9|A0A0E8T5B9_STREE,0
34,0|0|tr|A0A0E8TNS8|A0A0E8TNS8_STREE,0
35,0|0|tr|A0A0E8TLJ6|A0A0E8TLJ6_STREE,0
36,0|0|tr|A0A0E8TSW1|A0A0E8TSW1_STREE,0
37,0|0|tr|A0A0E8TDG3|A0A0E8TDG3_STREE,0
38,0|0|tr|A0A0E8TAY7|A0A0E8TAY7_STREE,0
39,0|0|tr|A0A0E8T7L4|A0A0E8T7L4_STREE,0
40,0|0|tr|A0A0E8TQY3|A0A0E8TQY3_STREE,0
41,0|0|tr|A0A0B7M3B6|A0A0B7M3B6_STREE,0
42,0|0|tr|A0A0E8TP22|A0A0E8TP22_STREE,0
43,0|0|tr|A0A0E8TEE6|A0A0E8TEE6_STREE,0
44,0|0|tr|A0A0E8T2T4|A0A0E8T2T4_STREE,0
45,0|0|tr|A0A0D6J7K9|A0A0D6J7K9_STREE,0
46,0|0|tr|A0A0E8TNL8|A0A0E8TNL8_STREE,0
47,0|0|tr|A0A0E8TN66|A0A0E8TN66_STREE,0
48,0|0|tr|A0A0E8TMN2|A0A0E8TMN2_STREE,0
49,0|0|tr|A0A0E8TEZ4|A0A0E8TEZ4_STREE,0
50,0|0|tr|A0A0E8TBR7|A0A0E8TBR7_STREE,0
